date,daily_pnl,n_trades,sentiment_value,classification
2025-03-18,57800.10149,21,34,Fear
2025-03-19,20058.994076,223,32,Fear
2025-03-20,5336.321512,116,49,Neutral
2025-03-22,4520.92947,85,32,Fear
2025-03-23,134.82844,9,30,Fear
2025-03-24,42243.95313,43,45,Neutral
2025-03-25,738.445836,32,46,Neutral
2025-03-26,5762.3897210000005,82,47,Neutral
2025-03-27,23645.932697,51,40,Fear
2025-03-28,2812.4077939999997,88,44,Fear
2025-03-29,853.873646,327,26,Fear
2025-03-31,3351.76805,73,34,Fear
2025-04-01,1534.8020319999998,12,34,Fear
2025-04-02,188440.462883,761,44,Fear
2025-04-03,6187.240167,504,25,Fear
2025-04-04,16509.96022,301,28,Fear
2025-04-05,2441.479757,13,30,Fear
2025-04-06,4589.966227,217,34,Fear
2025-04-07,-27270.190584,184,23,Extreme Fear
2025-04-08,25747.265104,104,24,Extreme Fear
2025-04-09,9607.08004,125,18,Extreme Fear
2025-04-10,37712.215817,284,39,Fear
2025-04-11,8490.55473,11,25,Fear
2025-04-12,398996.948591,476,43,Fear
2025-04-13,8043.192541,103,45,Neutral
2025-04-14,17995.009275,131,31,Fear
2025-04-15,48510.968923,474,38,Fear
2025-04-16,57853.249006,461,29,Fear
2025-04-17,1579.707825,75,30,Fear
2025-04-18,44355.005079,469,33,Fear
2025-04-19,64628.316891,324,32,Fear
2025-04-20,18853.06733,212,37,Fear
2025-04-21,28226.964031,481,39,Fear
2025-04-22,76426.431186,511,47,Neutral
2025-04-23,38850.135167,688,72,Greed
2025-04-24,41206.056841,845,63,Greed
2025-04-25,18973.372341,508,60,Greed
2025-04-26,3840.452736,117,65,Greed
2025-04-27,471.712989,81,61,Greed
2025-04-28,38702.572171,424,54,Neutral
2025-04-29,117648.295306,474,60,Greed
2025-04-30,5290.834211,24,56,Greed
2025-05-01,164227.083438,304,53,Neutral
